"File","ExternalLinks","Status"
"src\app\pages\json\json-parser\json-parser.component.html","16","TOO MANY"
"src\app\pages\xml\xml-parser\xml-parser.component.html","11","OK"
"src\app\pages\json\json-formatter\json-formatter.component.html","10","PERFECT"
"src\app\pages\xml\xml-to-python\xml-to-python.component.html","9","PERFECT"
"src\app\pages\json\json-minifier\json-minifier.component.html","8","PERFECT"
"src\app\pages\json\json-schema-generator\json-schema-generator.component.html","8","PERFECT"
"src\app\pages\xml\xml-to-typescript\xml-to-typescript.component.html","7","TOO FEW"
"src\app\pages\json\json-grid\json-grid.component.html","6","TOO FEW"
"src\app\pages\json\json-to-c\json-to-c.component.html","6","TOO FEW"
"src\app\pages\json\json-to-cpp\json-to-cpp.component.html","6","TOO FEW"
"src\app\pages\json\json-to-csharp\json-to-csharp.component.html","6","TOO FEW"
"src\app\pages\json\json-to-csv\json-to-csv.component.html","6","TOO FEW"
"src\app\pages\json\json-to-dart\json-to-java.component.html","6","TOO FEW"
"src\app\pages\json\json-to-fsharp\json-to-fsharp.component.html","6","TOO FEW"
"src\app\pages\json\json-to-go\json-to-csharp.component.html","6","TOO FEW"
"src\app\pages\json\json-to-go\json-to-go.component.html","6","TOO FEW"
"src\app\pages\json\json-to-java\json-to-csharp.component.html","6","TOO FEW"
"src\app\pages\json\json-to-java\json-to-java.component.html","6","TOO FEW"
"src\app\pages\json\json-to-kotlin\json-to-java.component.html","6","TOO FEW"
"src\app\pages\json\json-to-lua\json-to-lua.component.html","6","TOO FEW"
"src\app\pages\json\json-to-objectivec\json-to-objectivec.component.html","6","TOO FEW"
"src\app\pages\json\json-to-perl\json-to-perl.component.html","6","TOO FEW"
"src\app\pages\json\json-to-php\json-to-csharp.component.html","6","TOO FEW"
"src\app\pages\json\json-to-php\json-to-php.component.html","6","TOO FEW"
"src\app\pages\json\json-to-powershell\json-to-powershell.component.html","6","TOO FEW"
"src\app\pages\json\json-to-python\json-to-csharp.component.html","6","TOO FEW"
"src\app\pages\json\json-to-python\json-to-python.component.html","6","TOO FEW"
"src\app\pages\json\json-to-ruby\json-to-java.component.html","6","TOO FEW"
"src\app\pages\json\json-to-rust\json-to-java.component.html","6","TOO FEW"
"src\app\pages\json\json-to-scala\json-to-java.component.html","6","TOO FEW"
"src\app\pages\json\json-to-shell\json-to-shell.component.html","6","TOO FEW"
"src\app\pages\json\json-to-swift\json-to-swift.component.html","6","TOO FEW"
"src\app\pages\toml\json-to-toml\json-to-toml.component.html","6","TOO FEW"
"src\app\pages\xml\xml-to-base64\xml-to-base64.component.html","6","TOO FEW"
"src\app\pages\xml\xml-to-java\xml-to-java.component.html","6","TOO FEW"
"src\app\pages\yaml\json-to-yaml\json-to-yaml.component.html","6","TOO FEW"
"src\app\pages\yaml\yaml-to-json\yaml-to-json.component.html","6","TOO FEW"
"src\app\pages\yaml\yaml-to-typescript\yaml-to-typescript.component.html","6","TOO FEW"
"src\app\pages\javascript\js-formatter\js-formatter.component.html","5","TOO FEW"
"src\app\pages\javascript\js-to-typescript\js-to-typescript.component.html","5","TOO FEW"
"src\app\pages\javascript\js-validator\js-validator.component.html","5","TOO FEW"
"src\app\pages\json\json-fixer\json-fixer.component.html","5","TOO FEW"
"src\app\pages\json\json-merge\json-merge.component.html","5","TOO FEW"
"src\app\pages\json\json-sort\json-sort.component.html","5","TOO FEW"
"src\app\pages\json\string-to-json\string-to-json.component.html","5","TOO FEW"
"src\app\pages\xml\json-to-xml\json-to-xml.component.html","5","TOO FEW"
"src\app\pages\xml\xml-formatter\xml-formatter.component.html","5","TOO FEW"
"src\app\pages\xml\xml-schema-generator\xml-schema-generator.component.html","5","TOO FEW"
"src\app\pages\xml\xml-to-csharp\xml-to-csharp.component.html","5","TOO FEW"
"src\app\pages\xml\xml-to-dart\xml-to-dart.component.html","5","TOO FEW"
"src\app\pages\xml\xml-to-go\xml-to-go.component.html","5","TOO FEW"
"src\app\pages\xml\xml-to-html\xml-to-html.component.html","5","TOO FEW"
"src\app\pages\xml\xml-to-json\xml-to-json.component.html","5","TOO FEW"
"src\app\pages\xml\xml-to-kotlin\xml-to-kotlin.component.html","5","TOO FEW"
"src\app\pages\xml\xml-to-ruby\xml-to-ruby.component.html","5","TOO FEW"
"src\app\pages\xml\xml-to-toml\xml-to-toml.component.html","5","TOO FEW"
"src\app\pages\xml\xml-to-yaml\xml-to-yaml.component.html","5","TOO FEW"
"src\app\pages\xml\xml-url-encode\xml-url-encode.component.html","5","TOO FEW"
"src\app\pages\xml\xml-validator\xml-validator.component.html","5","TOO FEW"
"src\app\pages\yaml\yaml-formatter\yaml-formatter.component.html","5","TOO FEW"
"src\app\pages\yaml\yaml-to-xml\yaml-to-xml.component.html","5","TOO FEW"
"src\app\pages\yaml\yaml-validator\yaml-validator.component.html","5","TOO FEW"
"src\app\pages\javascript\js-minifier\js-minifier.component.html","4","TOO FEW"
"src\app\pages\javascript\js-obfuscator\js-obfuscator.component.html","4","TOO FEW"
"src\app\pages\javascript\jsx-formatter\jsx-formatter.component.html","4","TOO FEW"
"src\app\pages\json\json-escape\json-escape.component.html","4","TOO FEW"
"src\app\pages\json\json-path\json-path.component.html","4","TOO FEW"
"src\app\pages\json\json-to-typescript\json-to-typescript.component.html","4","TOO FEW"
"src\app\pages\xml\xml-escape\xml-escape.component.html","4","TOO FEW"
"src\app\pages\xml\xml-to-c\xml-to-c.component.html","4","TOO FEW"
"src\app\pages\xml\xml-to-csv\xml-to-csv.component.html","4","TOO FEW"
"src\app\pages\xml\xml-to-php\xml-to-php.component.html","4","TOO FEW"
"src\app\pages\xml\xml-to-rust\xml-to-rust.component.html","4","TOO FEW"
"src\app\pages\xml\xml-to-scala\xml-to-scala.component.html","4","TOO FEW"
"src\app\pages\yaml\yaml-minifier\yaml-minifier.component.html","4","TOO FEW"
"src\app\pages\yaml\yaml-to-csv\yaml-to-csv.component.html","4","TOO FEW"
"src\app\pages\javascript\js-deobfuscator\js-deobfuscator.component.html","3","TOO FEW"
"src\app\pages\xml\xml-beautifier\xml-beautifier.component.html","3","TOO FEW"
"src\app\pages\xml\xml-minifier\xml-minifier.component.html","3","TOO FEW"
"src\app\pages\json\json-validator\json-validator.component.html","2","TOO FEW"
"src\app\pages\privacy-policy\privacy-policy.component.html","2","TOO FEW"
"src\app\pages\xml\xml-to-cpp\xml-to-cpp.component.html","2","TOO FEW"
"src\app\pages\xml\xml-xpath\xml-xpath.component.html","2","TOO FEW"
"src\app\pages\about\about.component.html","0","TOO FEW"
"src\app\pages\contact\contact.component.html","0","TOO FEW"
"src\app\pages\css\css-formatter\css-formatter.component.html","0","TOO FEW"
"src\app\pages\css\css-minifier\css-minifier.component.html","0","TOO FEW"
"src\app\pages\css\css-to-scss\css-to-scss.component.html","0","TOO FEW"
"src\app\pages\css\css-validator\css-validator.component.html","0","TOO FEW"
"src\app\pages\css\scss-to-css\scss-to-css.component.html","0","TOO FEW"
"src\app\pages\csv\csv-formatter\csv-formatter.component.html","0","TOO FEW"
"src\app\pages\csv\csv-to-json\csv-to-json.component.html","0","TOO FEW"
"src\app\pages\csv\csv-to-xml\csv-to-xml.component.html","0","TOO FEW"
"src\app\pages\csv\csv-to-yaml\csv-to-yaml.component.html","0","TOO FEW"
"src\app\pages\csv\csv-validator\csv-validator.component.html","0","TOO FEW"
"src\app\pages\csv\csv-viewer\csv-viewer.component.html","0","TOO FEW"
"src\app\pages\javascript\js-console\js-console.component.html","0","TOO FEW"
"src\app\pages\markdown\html-to-markdown\html-to-markdown.component.html","0","TOO FEW"
"src\app\pages\markdown\markdown-editor\markdown-editor.component.html","0","TOO FEW"
"src\app\pages\markdown\markdown-formatter\markdown-formatter.component.html","0","TOO FEW"
"src\app\pages\markdown\markdown-table-generator\markdown-table-generator.component.html","0","TOO FEW"
"src\app\pages\markdown\markdown-to-html\markdown-to-html.component.html","0","TOO FEW"
"src\app\pages\not-found\not-found.component.html","0","TOO FEW"
"src\app\pages\toml\toml-formatter\toml-formatter.component.html","0","TOO FEW"
"src\app\pages\toml\toml-to-csv\toml-to-csv.component.html","0","TOO FEW"
"src\app\pages\toml\toml-to-json\toml-to-json.component.html","0","TOO FEW"
"src\app\pages\toml\toml-to-xml\toml-to-xml.component.html","0","TOO FEW"
"src\app\pages\toml\toml-to-yaml\toml-to-yaml.component.html","0","TOO FEW"
"src\app\pages\toml\toml-validator\toml-validator.component.html","0","TOO FEW"
"src\app\pages\toon\json-to-toon\json-to-toon.component.html","0","TOO FEW"
"src\app\pages\toon\toon-formatter\toon-formatter.component.html","0","TOO FEW"
"src\app\pages\toon\toon-to-csv\toon-to-csv.component.html","0","TOO FEW"
"src\app\pages\toon\toon-to-json\toon-to-json.component.html","0","TOO FEW"
"src\app\pages\toon\toon-to-toml\toon-to-toml.component.html","0","TOO FEW"
"src\app\pages\toon\toon-to-xml\toon-to-xml.component.html","0","TOO FEW"
"src\app\pages\toon\toon-to-yaml\toon-to-yaml.component.html","0","TOO FEW"
"src\app\pages\toon\toon-validator\toon-validator.component.html","0","TOO FEW"
"src\app\pages\xml\xml-to-swift\xml-to-swift.component.html","0","TOO FEW"
"src\app\pages\yaml\yaml-to-toml\yaml-to-toml.component.html","0","TOO FEW"
